證券代號,證券名稱,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2610,華航,55201519,457013833,8.20,8.39,8.20,8.32,-0.2600,12647
2611,志信,372182,2627676,7.09,7.16,7.03,7.04,-0.0500,79
2612,中航,50142,1251098,25.20,25.20,24.80,24.90,-0.3000,52
2613,中櫃,856396,14383392,16.30,17.10,16.30,16.70,0.4000,515
2614,東森,12353579,218845179,17.85,18.10,17.40,17.45,-0.4000,4371
2615,萬海,7452409,216901619,29.00,29.40,28.75,29.35,0.4000,3127
2616,山隆,24619,737858,29.95,30.00,29.95,29.95,-0.0500,50
2617,台航,556160,9204474,16.60,16.70,16.50,16.60,-0.0500,220
2618,長榮航,10128438,111527414,10.95,11.10,10.90,11.00,0.0000,3412
2630,亞航,230240,3559610,15.35,16.50,15.15,16.50,0.0000,115
2633,台灣高鐵,3682584,111488974,30.20,30.35,30.15,30.30,0.1000,1378
2634,漢翔,890260,24863057,27.80,28.10,27.75,28.05,0.3000,548
2636,台驊投控,1013048,38937097,38.75,38.85,38.20,38.35,-0.2500,675
2637,慧洋-KY,344798,7281659,21.05,21.20,21.05,21.15,0.0500,186
2642,宅配通,357389,12441311,35.05,35.10,34.70,34.70,-0.3000,233
2701,萬企,1037851,11665800,11.65,11.75,11.65,11.65,-0.0500,61
2702,華園,45219,703105,15.50,15.60,15.50,15.55,0.1000,23
2704,國賓,342154,10291805,30.35,30.70,29.80,29.95,-0.4000,199
2705,六福,443131,9811766,22.20,22.40,22.05,22.15,-0.0500,242
2706,第一店,45962,612883,13.30,13.40,13.30,13.35,0.1000,39
2707,晶華,59508,7598977,128.00,128.00,127.00,128.00,0.0000,60
2712,遠雄來,,,,,,,0.0000,
2722,夏都,18001,456375,25.30,25.45,25.30,25.30,-0.1000,17
2723,美食-KY,558231,59240418,105.50,107.00,105.50,106.00,0.0000,393
2727,王品,442747,34175094,76.40,77.90,76.40,77.70,1.3000,392
2731,雄獅,54001,3515971,65.20,65.40,64.90,65.00,-0.3000,43
2739,寒舍,37000,895950,24.45,24.45,24.05,24.15,0.0500,31
2748,雲品,56000,2199700,39.55,39.55,39.15,39.15,-0.4000,49
2801,彰銀,2426311,42651815,17.60,17.65,17.50,17.65,0.1000,888
2809,京城銀,879903,34106982,38.85,38.95,38.50,38.70,-0.0500,574
2812,台中銀,3055177,33145443,10.80,10.90,10.80,10.85,0.0000,897
2816,旺旺保,110406,2146018,19.40,19.50,19.40,19.50,0.1000,62
2820,華票,519098,7640224,14.70,14.75,14.65,14.65,-0.0500,289
2823,中壽,6235605,120818547,19.45,19.45,19.30,19.45,0.0500,1615
2832,台產,106217,2103846,19.80,19.85,19.75,19.85,0.0000,53
2834,臺企銀,8677306,83711921,9.62,9.67,9.60,9.66,0.0400,2898
2836,高雄銀,1015840,10353089,10.20,10.25,10.10,10.15,0.0000,243
2838,聯邦銀,536461,5420805,10.10,10.15,10.05,10.10,0.0000,218
2838A,聯邦銀甲特,73000,3796500,52.00,52.10,52.00,52.10,0.1000,40
2841,台開,1133900,8320025,7.36,7.39,7.30,7.32,-0.0200,467
2845,遠東銀,1240583,12897030,10.40,10.45,10.35,10.45,0.0500,411
2849,安泰銀,69013,1018739,14.70,14.85,14.70,14.75,0.1500,40
2850,新產,105503,3936694,37.25,37.40,37.15,37.35,0.1000,67
2851,中再保,511469,10851096,21.10,21.30,21.10,21.25,0.2000,222
2852,第一保,308001,3985512,13.00,13.00,12.85,13.00,0.0000,95
2855,統一證,574877,8591369,14.95,15.00,14.90,14.90,0.0000,252
2867,三商壽,3423000,29001995,8.53,8.58,8.43,8.46,-0.1600,1119
2880,華南金,7299083,128916562,17.65,17.70,17.55,17.70,0.0500,2540
2881,富邦金,8335274,348818916,41.65,41.95,41.65,41.95,0.3000,2942
2881A,富邦特,241485,14945769,61.80,62.10,61.80,62.10,0.2000,79
2881B,富邦金乙特,443819,27382641,61.80,61.80,61.60,61.70,-0.3000,165
2882,國泰金,8107374,317825057,39.20,39.30,39.00,39.30,0.1000,3177
2882A,國泰特,102373,6357560,62.10,62.20,62.00,62.20,0.1000,89
2882B,國泰金乙特,6127,381774,62.00,62.50,62.00,62.50,0.0000,14
2883,開發金,19137477,163599994,8.55,8.58,8.50,8.58,0.0600,3041
2884,玉山金,20476586,515818372,25.10,25.30,25.05,25.30,0.2500,8312
2885,元大金,18432319,336011743,18.15,18.30,18.10,18.30,0.0500,5257
2886,兆豐金,11903560,339079242,28.45,28.55,28.40,28.50,0.1000,5714
2887,台新金,9184717,119111123,12.95,13.00,12.90,13.00,0.0500,2383
2887E,台新戊特,273000,14272700,52.50,52.50,52.20,52.50,0.0000,42
2887F,台新戊特二,50894,2596239,51.00,51.10,50.90,51.10,0.2000,51
2888,新光金,20292567,164702487,8.12,8.14,8.09,8.12,0.0100,2266
2888A,新光金甲特,6886,298778,43.50,43.50,43.45,43.45,-0.1000,13
2888B,新光金乙特,367524,15437780,42.05,42.05,41.95,42.00,-0.0500,185
2889,國票金,4269347,50657180,11.85,11.90,11.80,11.85,0.1000,1055
2890,永豐金,11231141,122935473,11.00,11.00,10.90,10.95,-0.0500,2213
2891,中信金,30129321,556691237,18.30,18.65,18.25,18.65,0.3500,7966
2891B,中信金乙特,7455,476936,64.30,64.30,63.90,64.30,0.3000,12
2891C,中信金丙特,2520,156840,62.30,62.40,62.30,62.40,0.0000,14
2892,第一金,13696722,284844944,20.70,20.90,20.70,20.90,0.1000,5562
2897,王道銀行,2233353,14335828,6.44,6.44,6.39,6.43,0.0100,413
2897A,王道銀甲特,93091,940323,10.15,10.15,10.10,10.10,-0.0500,24
2901,欣欣,12457,295213,23.80,23.80,23.60,23.70,0.0500,32
2903,遠百,384364,9303007,24.20,24.30,24.15,24.15,-0.0500,251
2904,匯僑,77390,1897142,24.55,24.55,24.45,24.55,0.0000,52
2905,三商,430569,9030092,21.05,21.10,20.85,20.90,-0.1500,259
2906,高林,812065,11294944,13.90,14.00,13.85,13.90,0.0000,178
2908,特力,181111,4775559,26.35,26.50,26.25,26.35,0.1500,93
2910,統領,11000,349850,31.90,31.95,31.70,31.90,0.1000,8
2911,麗嬰房,77356,511953,6.65,6.65,6.58,6.61,-0.0400,94
2912,統一超,2592645,670725411,261.50,262.00,256.50,258.50,-3.5000,2678
2913,農林,285784,4752357,16.70,16.70,16.60,16.60,-0.1500,164
2915,潤泰全,803882,53288823,66.40,66.60,66.10,66.10,-0.4000,494
2923,鼎固-KY,25000,622100,24.85,24.90,24.80,24.80,0.0000,8
2929,淘帝-KY,384452,11713515,30.55,30.60,30.30,30.50,0.2500,328
2936,客思達-KY,42000,872800,20.95,20.95,20.65,20.70,-0.2500,29
2939,凱羿-KY,94000,8696500,92.90,93.40,91.70,92.40,-0.5000,60
3002,歐格,657000,8467350,12.85,13.15,12.65,12.70,0.0000,296
3003,健和興,282000,10981750,39.20,39.20,38.65,38.75,-0.0500,195
3004,豐達科,135606,6495728,48.15,48.25,47.65,47.80,-0.7500,110
3005,神基,609721,28925787,47.40,47.65,47.25,47.25,0.2500,423
3006,晶豪科,2781663,116949575,42.40,42.65,41.65,41.75,-0.2500,1654
3008,大立光,1303894,4067541200,3165.00,3195.00,3065.00,3145.00,-55.0000,4302
3010,華立,1054783,67790102,64.70,65.00,63.60,63.80,-0.6000,764
3011,今皓,87001,533296,6.22,6.22,6.10,6.15,0.0000,46
3013,晟銘電,209549,2706341,12.95,13.00,12.80,12.90,0.0000,83
3014,聯陽,1001259,68993478,69.20,69.70,68.30,68.30,-0.4000,725
3015,全漢,881361,29927222,33.55,34.20,33.55,34.00,0.4500,478
3016,嘉晶,1091809,67013133,61.30,62.10,60.60,60.60,-0.3000,759
3017,奇鋐,16775365,1170000401,69.80,71.50,67.70,68.00,-1.0000,9380
3018,同開,53368,1084442,20.55,20.55,20.20,20.20,-0.2000,68
3019,亞光,476503,30950483,65.20,65.50,64.60,64.70,-0.2000,370
3021,鴻名,112551,1717825,15.30,15.40,15.15,15.30,0.1000,61
3022,威強電,159213,7093380,44.50,44.85,44.45,44.60,0.2500,108
3023,信邦,559072,110846389,197.50,200.00,197.00,199.00,1.5000,548
3024,憶聲,896128,10037072,11.30,11.35,11.15,11.25,0.0000,300
3025,星通,199001,3771269,19.20,19.20,18.80,18.80,0.2000,90
3026,禾伸堂,1695198,181887815,108.00,108.50,106.50,107.00,0.0000,1262
3027,盛達,3167422,68907001,21.95,22.25,21.10,21.30,0.0000,1407
3028,增你強,192080,4061179,21.20,21.20,21.10,21.20,0.0500,114
3029,零壹,621144,23524998,38.20,38.20,37.60,37.60,-0.3000,382
3030,德律,374207,20778616,55.40,55.80,55.10,55.50,0.5000,291
3031,佰鴻,74078,987329,13.45,13.45,13.25,13.35,0.0500,40
3032,偉訓,1069534,52475163,49.25,49.70,48.60,48.65,-0.3500,613
3033,威健,2615175,48437597,18.60,18.65,18.40,18.40,0.0500,1125
3034,聯詠,5338886,1466913570,273.00,277.50,271.00,273.00,3.0000,3913
3035,智原,1601014,68320992,42.60,43.00,42.30,42.50,0.2000,1055
3036,文曄,545305,20420426,37.45,37.55,37.20,37.45,0.0500,278
3036A,文曄甲特,88000,4221350,48.00,48.00,47.90,47.95,-0.0500,76
3037,欣興,64914747,4544395236,69.30,71.20,68.80,68.80,0.0000,33682
3038,全台,1736096,30775394,17.80,17.95,17.45,17.60,-0.0500,654
3040,遠見,453375,15973213,35.05,35.60,34.95,35.35,1.0000,302
3041,揚智,8191427,238487932,28.75,29.75,28.50,28.75,0.0000,3967
3042,晶技,4685983,358660934,76.00,77.30,75.50,76.40,0.2000,2765
3043,科風,1493470,10084710,6.95,6.95,6.60,6.69,0.0000,441
3044,健鼎,988129,116840601,117.50,119.00,117.50,118.50,1.0000,805
3045,台灣大,4273383,424729601,98.60,100.00,98.20,100.00,1.4000,3114
3046,建碁,61026,889072,14.25,15.15,14.10,14.80,0.7000,58
3047,訊舟,4993923,72352079,14.40,14.75,14.25,14.40,0.3000,2116
3048,益登,675228,12525917,18.50,18.70,18.50,18.50,0.0000,275
3049,和鑫,46028190,471206158,10.20,10.40,10.00,10.00,0.0000,4985
3050,鈺德,12323136,154157126,12.35,12.85,12.10,12.20,0.2000,4211
3051,力特,72702,328065,4.59,4.59,4.47,4.50,-0.0200,38
3052,夆典,444345,4913022,11.05,11.15,11.00,11.00,0.0500,181
3054,立萬利,10000,229900,22.70,23.65,22.70,23.00,0.5000,9
3055,蔚華科,349911,11855894,33.40,34.30,33.40,33.85,0.4500,252
3056,總太,585598,22603628,38.65,38.75,38.40,38.65,-0.2000,352
3057,喬鼎,152905,1655803,10.75,10.95,10.75,10.85,0.1000,174
3058,立德,294218,2578990,8.83,8.83,8.72,8.74,-0.0900,134
3059,華晶科,786380,20338378,26.15,26.15,25.70,25.85,0.0000,306
3060,銘異,203829,2779892,13.70,13.75,13.60,13.60,-0.0500,116
3062,建漢,415233,5888750,14.30,14.30,14.10,14.10,-0.1000,187
3090,日電貿,438421,20166566,46.30,46.30,45.90,46.00,0.1000,301
3094,聯傑,134009,2921947,21.80,22.00,21.70,21.75,-0.0500,90
3130,一零四,2172,316136,145.00,146.00,145.00,146.00,0.5000,10
3149,正達,2175123,35271041,16.50,16.50,16.05,16.10,-0.2500,995
3164,景岳,44078,994765,22.70,22.80,22.45,22.45,-0.2000,32
3167,大量,37000,1579700,42.60,42.70,42.60,42.65,-0.0500,27
3189,景碩,21371030,1677215888,78.80,80.20,76.20,77.20,-1.1000,11698
3209,全科,1294694,26162953,20.25,20.40,20.00,20.40,0.2500,566
3229,晟鈦,43000,396760,9.36,9.37,9.15,9.16,0.0300,22
3231,緯創,4640498,135475976,29.30,29.35,29.05,29.15,0.0500,2107
3257,虹冠電,196344,14003151,71.50,71.80,71.00,71.30,-0.2000,178
3266,昇陽,58000,839150,14.55,14.55,14.40,14.50,0.0000,19
3296,勝德,257000,3545350,14.00,14.05,13.60,13.95,0.0000,82
3305,昇貿,274423,6613945,24.30,24.35,23.90,23.90,-0.2000,141
3308,聯德,30595,204710,6.68,6.72,6.60,6.72,0.0200,24
3311,閎暉,277275,8138756,29.40,29.45,29.30,29.30,-0.0500,251
3312,弘憶股,328387,4397377,13.20,13.50,13.20,13.40,0.2500,162
3321,同泰,401666,6442496,16.15,16.15,15.90,15.95,-0.1000,223
3338,泰碩,2473267,148315335,58.70,60.80,58.30,59.60,1.5000,1604
3346,麗清,11373714,490898849,43.05,44.15,42.00,42.25,-0.7500,6982
3356,奇偶,270190,6723976,25.40,25.40,24.55,24.70,-0.3000,195
3376,新日興,2220232,332737242,149.00,152.50,148.00,150.00,2.0000,1536
3380,明泰,1034956,27059669,26.20,26.40,26.00,26.05,-0.0500,712
3383,新世紀,89759,352609,3.91,3.99,3.83,3.85,-0.0600,32
3406,玉晶光,3450391,1973859330,580.00,580.00,566.00,569.00,-7.0000,2999
3413,京鼎,1568384,288188241,180.50,186.00,180.50,183.50,4.5000,1204
3416,融程電,168175,12364494,71.90,74.30,71.90,73.30,1.5000,144
3419,譁裕,934007,14392155,15.70,15.75,15.20,15.25,-0.4000,420
3432,台端,70004,896999,12.85,12.95,12.75,12.90,0.0500,35
3437,榮創,916722,19463703,21.45,21.70,20.90,21.05,-0.2500,452
3443,創意,4381041,1187376897,262.50,278.00,262.00,266.00,-1.0000,3622
3450,聯鈞,2258269,151830343,66.80,67.70,66.60,66.60,0.3000,1439
3454,晶睿,114551,8440081,73.50,74.00,73.20,73.70,0.2000,107
3481,群創,92557678,921325999,10.05,10.05,9.91,9.91,-0.0900,10837
3494,誠研,338334,1547907,4.59,4.61,4.53,4.59,-0.0100,110
3501,維熹,19051,874076,46.00,46.00,45.80,45.90,0.3500,18
3504,揚明光,111000,5948300,54.00,54.30,53.00,53.30,-0.3000,85
3515,華擎,4578080,791445600,168.00,176.50,167.50,172.50,9.5000,3632
3518,柏騰,92013,2566157,27.65,28.20,27.65,27.80,0.1500,73
3528,安馳,113617,4613657,40.20,40.90,40.20,40.60,0.4000,70
3530,晶相光,1143993,101276916,87.40,89.50,87.40,88.00,0.5000,849
3532,台勝科,1400177,169404772,121.00,122.50,120.00,121.00,1.0000,1157
3533,嘉澤,598976,265484215,445.00,449.00,436.50,439.00,-1.0000,620
3535,晶彩科,403014,7492313,18.70,18.75,18.40,18.40,-0.0500,203
3536,誠創,14905,62428,4.00,4.25,4.00,4.23,0.0400,10
3543,州巧,170001,3774362,22.15,22.55,22.15,22.30,0.1500,99
3545,敦泰,4152833,209394320,50.90,51.20,49.80,49.90,-0.4000,2287
3550,聯穎,79008,1115569,14.10,14.15,14.10,14.10,0.0000,57
3557,嘉威,1494856,121041083,81.50,82.20,80.00,80.60,1.9000,994
3563,牧德,193409,54835624,284.50,285.00,282.50,283.00,0.5000,182
3576,聯合再生,61724057,960812412,15.90,15.90,15.30,15.30,-0.6500,19786
3583,辛耘,126000,7268800,58.20,58.20,57.20,57.20,-0.2000,111
3588,通嘉,995187,38876817,39.00,40.25,38.30,38.30,-0.7000,558
3591,艾笛森,327409,3929183,11.70,12.10,11.70,12.10,0.4500,122
3593,力銘,69580,759857,10.95,11.00,10.80,10.80,-0.2000,45
3596,智易,2063164,205709073,98.70,100.50,98.70,100.50,1.8000,1438
3605,宏致,1747456,60255903,34.80,35.15,33.90,34.10,-0.7000,994
3607,谷崧,12128007,155367489,12.10,13.10,12.00,12.90,0.7000,1687
3617,碩天,24000,1838400,77.00,77.00,76.30,76.90,0.2000,21
3622,洋華,181916,3812540,21.00,21.25,20.70,20.85,-0.1500,82
3645,達邁,1234394,67814621,54.50,55.70,54.30,54.40,0.3000,677
3653,健策,5973279,1703227312,293.50,295.00,277.50,277.50,-15.5000,4879
3661,世芯-KY,14186304,7989626750,530.00,580.00,528.00,580.00,52.0000,11166
3665,貿聯-KY,1757241,403680023,231.00,231.50,228.00,230.00,2.0000,1304
3669,圓展,3795295,359231174,94.80,95.80,94.00,94.20,0.4000,2445
3673,TPK-KY,12831291,623141423,49.20,49.45,48.00,48.20,-2.7000,7727
3679,新至陞,706671,75818554,106.00,109.00,105.50,106.50,1.0000,615
3682,亞太電,3562955,33749627,9.56,9.56,9.42,9.43,-0.0200,1213
3686,達能,8156803,170089592,22.10,22.10,20.00,20.10,-0.3000,4008
3694,海華,1307597,41735014,31.95,32.65,31.45,31.50,-0.4500,644
3698,隆達,2134774,41124573,19.75,19.75,18.90,19.00,0.1000,921
3701,大眾控,4109,53571,13.05,13.05,13.05,13.05,0.0000,11
3702,大聯大,1292788,50901356,39.35,39.45,39.25,39.40,0.1500,735
3702A,大聯大甲特,36171,1799214,49.75,49.75,49.70,49.75,-0.0500,21
3703,欣陸,5882264,147942439,25.10,25.50,24.70,25.10,0.4500,2518
3704,合勤控,1799682,41953763,23.15,23.55,23.15,23.20,0.1500,836
3705,永信,223576,9571467,43.00,43.05,42.65,42.75,-0.1500,194
3706,神達,3655697,105961842,28.85,29.20,28.80,28.85,0.0500,1831
3708,上緯投控,5985284,995792154,167.00,168.50,164.00,167.50,3.5000,4030
3711,日月光投控,22024403,1507074393,68.60,68.80,67.90,68.70,0.5000,9595
3712,永崴投控,1229632,46029579,37.10,37.85,37.00,37.15,0.0500,706
4104,佳醫,125217,7110539,56.80,57.00,56.70,56.70,-0.1000,110
4106,雃博,600423,18504264,30.70,31.20,30.55,30.60,-0.7000,401
4108,懷特,328004,8139800,25.05,25.05,24.70,24.90,-0.1500,184
4119,旭富,330331,39468413,119.00,120.50,118.50,119.50,0.5000,225
4133,亞諾法,1111069,71225634,64.30,64.80,63.60,64.40,0.7000,785
4137,麗豐-KY,119513,21322564,177.00,180.00,176.50,179.00,3.0000,117
4141,龍燈-KY,573083,6481513,11.25,11.40,11.15,11.25,0.0000,180
4142,國光生,4432343,268398963,61.20,61.20,60.00,60.30,-0.3000,2984
4148,全宇生技-KY,25000,866300,34.40,35.45,34.40,34.75,0.6000,11
4155,訊映,4066244,128710564,30.80,32.35,30.80,31.50,0.7000,1907
4164,承業醫,175982,6680723,37.70,38.10,37.70,38.10,0.4000,118
4190,佐登-KY,83001,7323088,88.50,89.00,87.80,88.00,0.1000,68
4306,炎洲,2661641,40248102,14.95,15.35,14.80,15.20,0.4000,1078
4414,如興,953280,10862830,11.55,11.55,11.30,11.30,-0.2500,399
4426,利勤,62661,1706008,27.50,27.60,27.05,27.05,-0.1500,68
4438,廣越,51000,5317000,104.50,104.50,104.00,104.00,-0.5000,48
4439,冠星-KY,49000,6362000,132.00,132.00,128.50,129.00,-1.0000,45
4526,東台,553835,7804657,14.25,14.40,13.90,14.15,-0.1000,294
4532,瑞智,315811,6175378,19.45,19.65,19.45,19.55,0.1000,262
4536,拓凱,533102,84026487,154.50,160.00,153.50,158.50,4.5000,388
4540,全球傳動,46000,2028900,44.30,44.35,43.90,43.95,0.2500,39
4545,銘鈺,96318,2911740,30.30,30.60,29.80,30.45,0.5500,45
4551,智伸科,1325848,244978010,177.50,187.50,177.50,185.50,8.0000,1140
4552,力達-KY,163160,5874002,36.00,36.20,35.90,36.10,0.1500,77
4555,氣立,13000,630200,48.40,48.85,48.30,48.40,0.0500,12
4557,永新-KY,10020,623830,62.40,62.40,62.00,62.30,-0.1000,12
4560,強信-KY,175000,7117700,40.55,41.10,40.30,40.55,0.2500,86
4562,穎漢,13000,216600,16.65,16.85,16.55,16.65,0.0500,10
4564,元翎,362000,10240400,27.80,28.85,27.80,28.50,0.7000,227
4566,時碩工業,16000,594100,37.00,37.40,37.00,37.00,0.0000,16
4571,鈞興-KY,22400,1572240,70.20,70.20,70.20,70.20,0.1000,14
4572,駐龍,39062,2779338,72.50,72.50,70.80,70.80,-1.3000,35
4576,大銀微系統,32877,2455769,75.40,75.40,74.30,74.70,-0.4000,32
4581,光隆精密-KY,13000,479700,36.70,37.00,36.30,37.00,0.4000,12
4720,德淵,85322,1105789,13.00,13.05,12.90,12.90,-0.0500,47
4722,國精化,62466,1727571,27.60,27.70,27.60,27.70,0.1000,30
4725,信昌化,105516,1876092,17.75,17.80,17.75,17.80,0.0500,75
4737,華廣,20170,1430587,70.60,71.10,70.60,70.80,-0.3000,14
4739,康普,121177,6518418,53.50,54.30,53.40,53.60,0.4000,108
4746,台耀,388596,18954065,49.30,49.30,48.50,48.50,-0.3000,297
4755,三福化,33010,2228912,68.00,68.00,67.30,67.50,0.2000,31
4763,材料-KY,175255,22852357,129.00,131.50,129.00,130.00,0.5000,142
4764,雙鍵,7000,424000,60.60,60.70,60.50,60.70,0.0000,7
4766,南寶,246000,35413500,144.00,145.00,143.00,145.00,1.5000,236
4807,日成-KY,37000,1063450,28.80,29.00,28.30,28.45,0.2500,21
4904,遠傳,2356191,142885286,60.60,60.80,60.50,60.50,0.1000,1180
4906,正文,12374020,359755514,28.95,29.45,28.70,29.00,0.5000,5489
4912,聯德控股-KY,180677,21618740,122.00,123.00,117.50,119.00,-2.5000,129
4915,致伸,13432152,631867127,47.25,47.75,46.65,47.15,0.5000,7450
4916,事欣科,57224,1208265,21.20,21.20,21.05,21.10,-0.0500,51
4919,新唐,1648799,69376149,42.00,42.35,41.70,41.90,0.1000,1037
4927,泰鼎-KY,6959402,546867504,77.00,80.00,76.80,78.50,2.5000,3909
4930,燦星網,871383,15249194,17.50,17.50,17.50,17.50,1.5500,304
4934,太極,3665115,105346122,29.30,29.50,28.25,28.50,-0.8000,2233
4935,茂林-KY,1764030,192792130,108.50,111.50,108.00,108.00,-0.5000,1180
4938,和碩,3842477,239375093,62.70,62.70,62.00,62.20,-0.1000,2099
4942,嘉彰,992071,38878760,39.00,39.50,38.80,38.85,0.0500,441
4943,康控-KY,2640766,235423481,87.90,90.20,87.30,89.50,2.3000,1804
4952,凌通,544627,19034947,35.20,35.50,34.60,34.90,-0.1500,297
4956,光鋐,347003,6399655,18.50,18.70,18.25,18.35,-0.0500,213
4958,臻鼎-KY,6284164,806392046,127.00,130.00,126.00,127.50,1.0000,4543
4960,誠美材,5619575,53263422,9.54,9.60,9.30,9.33,-0.0900,1252
4961,天鈺,880000,31373900,35.75,36.00,35.25,35.40,-0.1500,470
4967,十銓,315020,10501290,33.45,33.50,33.20,33.30,0.0500,187
4968,立積,16405853,4422379656,258.00,279.00,257.50,268.50,13.0000,12646
4976,佳凌,8228553,402714484,47.55,49.75,47.30,48.65,1.0000,4477
4977,眾達-KY,926505,99133677,106.50,108.50,105.50,106.00,0.5000,646
4989,榮科,53000,900650,17.20,17.20,16.80,16.80,-0.1000,30
4994,傳奇,111475,7060615,61.90,63.70,61.90,63.60,1.5000,72
4999,鑫禾,227571,10287679,45.00,45.40,45.00,45.10,0.2500,162
5007,三星,49001,2244146,45.80,46.00,45.75,45.80,-0.2000,30
5203,訊連,257276,26237547,103.00,103.50,100.50,102.00,-1.0000,179
5215,科嘉-KY,1586971,251963319,158.00,161.50,156.00,156.00,-2.0000,1123
5225,東科-KY,164009,4518795,27.70,27.70,27.40,27.40,-0.3000,91
5234,達興材料,118182,9426711,80.40,80.40,79.50,79.60,-0.8000,107
5243,乙盛-KY,221050,7456837,33.80,33.90,33.60,33.65,-0.1000,138
5258,虹堡,2682496,60776656,21.55,22.95,21.25,21.50,0.6000,880
5264,鎧勝-KY,216539,18694115,86.30,86.40,86.30,86.30,0.0000,159
5269,祥碩,2214984,3494019900,1505.00,1620.00,1500.00,1620.00,145.0000,2222
5283,禾聯碩,37100,3815451,102.50,103.00,102.50,103.00,0.5000,30
5284,jpp-KY,13314,443082,33.25,33.95,33.20,33.95,0.7000,11
5285,界霖,304000,14528950,48.00,48.50,47.30,47.30,-0.6000,184
5288,豐祥-KY,166047,16977841,102.00,103.00,101.50,102.00,1.0000,106
5305,敦南,535984,22634322,42.20,42.25,42.20,42.25,0.0500,166
5388,中磊,903510,67005290,73.50,74.60,73.50,73.80,0.4000,558
5434,崇越,532697,63588769,119.50,120.00,119.00,119.00,0.5000,494
5469,瀚宇博,11057819,462841824,41.80,42.20,41.55,41.75,0.8500,5581
5471,松翰,10579076,758995968,72.00,72.80,70.90,71.10,0.2000,6351
5484,慧友,185689,1966699,10.80,10.80,10.40,10.60,-0.2000,72
5515,建國,167001,1976161,11.90,11.95,11.75,11.85,-0.0500,114
5519,隆大,230126,3478145,15.15,15.15,15.05,15.10,-0.0500,98
5521,工信,9031350,114451997,13.00,13.05,12.40,12.55,-0.3500,2420
5522,遠雄,364673,16712213,46.05,46.05,45.70,45.75,-0.0500,246
5525,順天,31200,669234,21.50,21.55,21.40,21.40,-0.1000,26
5531,鄉林,294959,3056873,10.40,10.40,10.30,10.35,0.0500,127
5533,皇鼎,41918,667295,15.90,16.00,15.90,16.00,-0.0500,9
5534,長虹,138823,11098212,80.30,80.30,79.80,79.80,-0.3000,117
5538,東明-KY,8000,255650,32.00,32.20,31.80,32.05,0.0500,6
5546,永固-KY,311136,24285908,78.80,79.20,77.50,78.00,-0.5000,146
5607,遠雄港,1551990,46495204,29.85,30.25,29.70,30.00,0.0000,739
5608,四維航,1747374,12611986,7.20,7.30,7.17,7.18,-0.0100,579
5706,鳳凰,171332,4802524,28.40,28.40,27.80,28.00,-0.4000,138
5871,中租-KY,2864120,426596306,147.50,150.00,147.00,150.00,2.5000,2057
5871A,中租-KY甲特,94292,9259493,98.20,98.30,98.10,98.20,0.2000,104
5876,上海商銀,2042100,78695282,38.60,38.60,38.40,38.60,0.0000,710
5880,合庫金,9507826,188802800,19.75,19.95,19.70,19.90,0.2000,3172
5906,台南-KY,9000,319950,35.50,35.75,35.40,35.75,-0.1500,8
5907,大洋-KY,40000,848850,21.10,21.40,21.10,21.25,0.1000,30
6005,群益證,2304191,25344772,11.00,11.05,10.95,11.00,0.0500,629
6024,群益期,108880,4006310,36.70,36.85,36.70,36.75,0.0500,79
6108,競國,78014,1609634,20.70,20.75,20.60,20.60,0.0500,58
6112,聚碩,397336,15606210,39.00,39.55,38.90,39.30,0.5000,237
6115,鎰勝,69297,2843589,41.05,41.10,41.00,41.10,0.0500,58
6116,彩晶,149386211,1450196899,9.81,9.86,9.49,9.52,-0.0800,23040
6117,迎廣,56000,917100,16.20,16.60,16.20,16.60,0.3000,28
6120,達運,398183,4441409,11.15,11.25,11.10,11.10,0.0000,188
6128,上福,63001,1747277,27.75,27.85,27.55,27.60,0.2000,42
6131,鈞泰,51081,327806,6.01,6.60,6.01,6.60,0.4400,38
6133,金橋,122050,986190,8.08,8.10,8.06,8.09,-0.0800,47
6136,富爾特,69967,1203185,17.20,17.25,17.15,17.15,-0.1500,63
6139,亞翔,211127,5505404,26.10,26.20,26.00,26.00,-0.1000,148
6141,柏承,1573501,42691751,27.10,27.60,26.70,26.70,-0.1500,722
6142,友勁,537832,3983752,7.51,7.51,7.31,7.40,-0.1800,220
6152,百一,4604305,52717075,11.50,12.05,11.10,11.10,-0.7000,1916
6153,嘉聯益,4985672,146263853,29.55,29.85,28.90,29.05,-0.6500,2637
6155,鈞寶,639214,15051524,23.75,24.00,23.20,23.50,-0.5000,453
6164,華興,150942,1119078,7.47,7.52,7.33,7.46,0.0200,85
6165,捷泰,1578328,83579641,54.70,55.30,51.10,51.50,-3.2000,1005
6166,凌華,35241,2304402,65.30,65.60,65.20,65.20,0.1000,36
6168,宏齊,229113,3153840,13.85,13.85,13.65,13.70,-0.0500,103
6172,互億,36363,1026499,28.30,28.30,28.15,28.15,-0.2000,18
6176,瑞儀,2117845,235782728,111.00,112.50,110.50,111.00,0.0000,1279
6177,達麗,1068416,30973557,29.20,29.25,28.85,28.90,-0.3500,534
6183,關貿,54175,2521455,46.35,46.90,46.35,46.40,0.1000,48
6184,大豐電,148962,6235554,41.80,41.95,41.65,41.80,0.4000,111
6189,豐藝,193052,6864852,35.55,35.70,35.30,35.40,-0.1500,125
